"Reading","DateTime","Temp","Intensity","Site"
3121,2021-06-05 00:11:44,10.357,0,"Cape Liz"
3122,2021-06-05 00:26:44,10.259,0,"Cape Liz"
3123,2021-06-05 00:41:44,9.965,0,"Cape Liz"
3124,2021-06-05 00:56:44,9.866,0,"Cape Liz"
3125,2021-06-05 01:11:44,9.866,0,"Cape Liz"
3126,2021-06-05 01:26:44,9.965,0,"Cape Liz"
3127,2021-06-05 01:41:44,9.965,0,"Cape Liz"
3128,2021-06-05 01:56:44,9.965,0,"Cape Liz"
3129,2021-06-05 02:11:44,9.965,0,"Cape Liz"
3130,2021-06-05 02:26:44,10.063,0,"Cape Liz"
3131,2021-06-05 02:41:44,10.063,0,"Cape Liz"
3132,2021-06-05 02:56:44,10.063,0,"Cape Liz"
3133,2021-06-05 03:11:44,10.161,0,"Cape Liz"
3134,2021-06-05 03:26:44,10.259,0,"Cape Liz"
3135,2021-06-05 03:41:44,10.357,0,"Cape Liz"
3136,2021-06-05 03:56:44,10.455,0,"Cape Liz"
3137,2021-06-05 04:11:44,10.455,0,"Cape Liz"
3138,2021-06-05 04:26:44,10.357,0,"Cape Liz"
3139,2021-06-05 04:41:44,10.357,0,"Cape Liz"
3140,2021-06-05 04:56:44,10.455,0,"Cape Liz"
3141,2021-06-05 05:11:44,10.455,0,"Cape Liz"
3142,2021-06-05 05:26:44,10.455,0,"Cape Liz"
3143,2021-06-05 05:41:44,10.455,0,"Cape Liz"
3144,2021-06-05 05:56:44,10.455,0,"Cape Liz"
3145,2021-06-05 06:11:44,10.455,0,"Cape Liz"
3146,2021-06-05 06:26:44,10.455,0,"Cape Liz"
3147,2021-06-05 06:41:44,10.357,0,"Cape Liz"
3148,2021-06-05 06:56:44,10.455,0,"Cape Liz"
3149,2021-06-05 07:11:44,10.553,0,"Cape Liz"
3150,2021-06-05 07:26:44,10.651,0,"Cape Liz"
3151,2021-06-05 07:41:44,10.846,0,"Cape Liz"
3152,2021-06-05 07:56:44,10.846,0,"Cape Liz"
3153,2021-06-05 08:11:44,10.944,0,"Cape Liz"
3154,2021-06-05 08:26:44,10.944,0,"Cape Liz"
3155,2021-06-05 08:41:44,10.944,0,"Cape Liz"
3156,2021-06-05 08:56:44,10.944,2,"Cape Liz"
3157,2021-06-05 09:11:44,10.651,7,"Cape Liz"
3158,2021-06-05 09:26:44,10.259,26,"Cape Liz"
3159,2021-06-05 09:41:44,10.161,4,"Cape Liz"
3160,2021-06-05 09:56:44,9.965,6,"Cape Liz"
3161,2021-06-05 10:11:44,9.768,8,"Cape Liz"
3162,2021-06-05 10:26:44,9.866,6,"Cape Liz"
3163,2021-06-05 10:41:44,10.259,37,"Cape Liz"
3164,2021-06-05 10:56:44,10.063,47,"Cape Liz"
3165,2021-06-05 11:11:44,10.357,26,"Cape Liz"
3166,2021-06-05 11:26:44,10.553,24,"Cape Liz"
3167,2021-06-05 11:41:44,10.651,24,"Cape Liz"
3168,2021-06-05 11:56:44,10.846,30,"Cape Liz"
3169,2021-06-05 12:11:44,10.651,41,"Cape Liz"
3170,2021-06-05 12:26:44,10.259,48,"Cape Liz"
3171,2021-06-05 12:41:44,10.063,58,"Cape Liz"
3172,2021-06-05 12:56:44,10.161,43,"Cape Liz"
3173,2021-06-05 13:11:44,10.161,64,"Cape Liz"
3174,2021-06-05 13:26:44,10.063,52,"Cape Liz"
3175,2021-06-05 13:41:44,10.161,44,"Cape Liz"
3176,2021-06-05 13:56:44,10.161,52,"Cape Liz"
3177,2021-06-05 14:11:44,10.259,86,"Cape Liz"
3178,2021-06-05 14:26:44,10.259,66,"Cape Liz"
3179,2021-06-05 14:41:44,10.357,58,"Cape Liz"
3180,2021-06-05 14:56:44,10.259,48,"Cape Liz"
3181,2021-06-05 15:11:44,10.455,86,"Cape Liz"
3182,2021-06-05 15:26:44,10.455,136,"Cape Liz"
3183,2021-06-05 15:41:44,10.748,128,"Cape Liz"
3184,2021-06-05 15:56:44,10.944,480,"Cape Liz"
3185,2021-06-05 16:11:44,10.846,416,"Cape Liz"
3186,2021-06-05 16:26:44,11.041,86,"Cape Liz"
3187,2021-06-05 16:41:44,11.334,110,"Cape Liz"
3188,2021-06-05 16:56:44,11.236,384,"Cape Liz"
3189,2021-06-05 17:11:44,10.944,480,"Cape Liz"
3190,2021-06-05 17:26:44,11.334,1728,"Cape Liz"
3191,2021-06-05 17:41:44,11.625,1344,"Cape Liz"
3192,2021-06-05 17:56:44,11.819,864,"Cape Liz"
3193,2021-06-05 18:11:44,12.11,864,"Cape Liz"
3194,2021-06-05 18:26:44,12.11,1216,"Cape Liz"
3195,2021-06-05 18:41:44,12.11,576,"Cape Liz"
3196,2021-06-05 18:56:44,12.207,896,"Cape Liz"
3197,2021-06-05 19:11:44,12.11,1088,"Cape Liz"
3198,2021-06-05 19:26:44,11.916,124,"Cape Liz"
3199,2021-06-05 19:41:44,11.916,864,"Cape Liz"
3200,2021-06-05 19:56:44,11.916,672,"Cape Liz"
3201,2021-06-05 20:11:44,12.013,512,"Cape Liz"
3202,2021-06-05 20:26:44,12.11,1024,"Cape Liz"
3203,2021-06-05 20:41:44,12.013,416,"Cape Liz"
